Location,Name,City,Country,Population,Image,iconName
"-1.3124627599531833, 36.79065705000005",Kibera,Nairobi,Kenya,"170,000 - 1 million",http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/Kibera.jpg,orange_blank
"19.04688610939055, 72.8572940614381",Dharavi,Mumbai,India,"600,000 - 1 million",http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/Dharavi.jpg,orange_blank
"-22.9873329937636, -43.248074950000046",Favela da Rocinha,Rio de Janeiro,Brazil,"69,000",http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/Rocinha.jpg,orange_blank
"24.949690132467605, 66.96778429270023",Orangi Town,Karachi,Pakistan,1.5 million,http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/ORANGI%20TOWN.jpg,orange_blank
"19.405988110642785, -99.02371464370117",Neza-Chalco-Itza,Mexico City,Mexico,4 million,http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/neza_panoramica_acontecimextraord2012.jpg,orange_blank
"-34.03910079973959, 18.67511562426762",Khayelitsha,Cape Town,South Africa,"400,000",http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/Khayelitsha.jpg,orange_blank
"18.57715429149427, -72.33528265767211",Cité Soleil,Port-au-Prince,Haiti,"240,000",http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/Cite-Soleil.jpg,orange_blank
"-23.613940969662767, -46.591550385705546",Heliópolis,São Paulo,Brazil,"41,000 - 100,000",http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/Heliopolis.jpg,orange_blank
"-23.616527838922924, -46.72563605000005",Paraisópolis,São Paulo,Brazil,"43,000 - 100,000",http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/Parais%C3%B3polis.jpg,orange_blank
"-6.133323, 106.79272900000001",Penjaringan,Jakarta,Indonesia,,http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/Jakarta.jpg,orange_blank
"6.460143, 3.334010000000035",Ajegunle,Lagos,Nigeria,1 - 3 million,http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/Ajegunle.jpg,orange_blank
"30.036230320797888, 31.278252199999997",Manshiyat Naser,Cairo,Egypt,1 million,http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/Manshiyat%20Naser.jpg,orange_blank
"23.78419615394804, 90.40539979524533",Korail Basti,Dhaka,Bangladesh,"50,000 - 120,000",http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/Korail%20Basti.jpg,orange_blank
"26.8996970036196, 75.7973187",Kathputli Nagar,Jaipur,India,"10,000",http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/Kathputli%20Nagar.jpg,orange_blank
"14.629556091158419, -90.50150625158994",Colonia la Limonada,Guatemala City,Guatemala,"60,000",http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/la%20limonada.jpg,orange_blank
"6.3267939725773035, -10.806775649999963",West Point,Monrovia,Liberia,"75,000",http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/West%20poINT%20mONROVIA.jpg,orange_blank
"-33.86169417903085, 18.732109949999995",Wallacedene,Cape Town,South Africa,"21,000",http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/wallacedene.JPG,orange_blank
"6.495811236715394, 3.3918728423889206",Makoko,Lagos,Nigeria,"85,000",http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/makoko.jpg,orange_blank
"8.486602390546752, -13.241470400262415",Kroo Bay,Freetown,Sierra Leone,"6,000",http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/Kroo%20Bay.jpg,orange_blank
"-26.103210628382314, 28.101563400000032",Alexandra,Johannesburg,South Africa,"166,000",http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/Alexandra.jpg,orange_blank
"-25.562365650546774, 27.23975345000008",Freedom Park,Rustenburg,South Africa,"25,000",http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/Freedom%20Park.JPG,orange_blank
"13.037914154520251, 80.27952769629519",Nochikuppam,Chennai,India,"5,000",http://whippet.ats.ucla.edu/2013/ZachZ/SlumPhotos/Nochikuppam.jpg,orange_blank
